EmployeeCount,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlySalary
57,35,No,Travel_Frequently,853,Sales,18,Doctor,2,Male,3,3,Sales Executive,1,Married,1,No,22,4,4,1,9,3,2,9,8,1,8,18766
58,35,No,Travel_Rarely,1142,Research & Development,23,Master,3,Female,3,1,Laboratory Technician,1,Married,3,Yes,15,3,3,1,4,3,3,2,2,2,2,25124
59,31,No,Travel_Rarely,655,Research & Development,7,Master,4,Male,3,2,Laboratory Technician,4,Divorced,3,No,22,4,4,1,10,3,2,7,7,1,7,14410
60,37,No,Travel_Rarely,1115,Research & Development,1,Master,1,Male,2,2,Manufacturing Director,3,Divorced,1,No,18,3,3,1,7,2,4,7,5,0,7,24530
61,32,No,Travel_Rarely,427,Research & Development,1,Bachelor,1,Male,3,2,Manufacturing Director,4,Married,1,Yes,22,4,2,1,9,3,3,9,8,7,8,9394
62,38,No,Travel_Frequently,653,Research & Development,29,Doctor,4,Female,3,2,Laboratory Technician,4,Single,1,No,11,3,4,0,10,2,3,10,3,9,9,14366
63,50,No,Travel_Rarely,989,Research & Development,7,College,2,Female,2,5,Research Director,3,Divorced,5,Yes,12,3,4,1,29,2,2,27,3,13,8,21758
64,59,No,Travel_Rarely,1435,Sales,25,Bachelor,1,Female,3,3,Sales Executive,1,Single,7,No,11,3,4,0,28,3,2,21,16,7,9,31570
65,36,No,Travel_Rarely,1223,Research & Development,8,Bachelor,3,Female,3,3,Healthcare Representative,3,Divorced,1,No,13,3,2,3,17,2,3,17,14,12,8,26906
66,55,No,Travel_Rarely,836,Research & Development,8,Bachelor,4,Female,3,4,Manager,3,Divorced,2,Yes,14,3,3,3,21,2,3,5,0,0,2,18392
67,36,No,Travel_Frequently,1195,Research & Development,11,Bachelor,2,Male,2,2,Manufacturing Director,2,Single,1,No,13,3,3,0,6,3,3,6,5,0,3,26290
68,45,No,Travel_Rarely,1339,Research & Development,7,Bachelor,2,Male,3,3,Research Scientist,1,Divorced,2,No,17,3,3,1,25,2,3,1,0,0,0,29458
69,35,No,Travel_Frequently,664,Research & Development,1,Bachelor,2,Male,3,1,Research Scientist,1,Married,4,No,13,3,4,1,5,2,2,3,2,1,2,14608
70,36,Yes,Travel_Rarely,318,Research & Development,9,Bachelor,4,Male,2,1,Research Scientist,3,Married,0,Yes,17,3,1,1,2,0,2,1,0,0,0,6996
71,59,No,Travel_Frequently,1225,Sales,1,Below College,1,Female,2,2,Sales Executive,3,Single,7,No,11,3,4,0,20,2,2,4,3,1,3,26950
72,29,No,Travel_Rarely,1328,Research & Development,2,Bachelor,3,Male,3,1,Research Scientist,2,Married,0,No,23,4,4,1,6,3,3,5,4,0,4,29216
73,31,No,Travel_Rarely,1082,Research & Development,1,Master,3,Male,3,1,Research Scientist,2,Single,1,No,17,3,2,0,1,4,3,1,1,1,0,23804
74,32,No,Travel_Rarely,548,Research & Development,1,Bachelor,2,Male,3,2,Research Scientist,2,Married,1,No,17,3,2,2,10,3,3,10,4,0,9,12056
75,36,No,Travel_Rarely,132,Research & Development,6,Bachelor,2,Female,4,1,Laboratory Technician,4,Married,3,No,12,3,2,0,5,3,3,1,0,0,0,2904
76,31,No,Travel_Rarely,746,Research & Development,8,Master,3,Female,3,2,Manufacturing Director,4,Single,1,No,23,4,4,0,11,2,3,11,7,1,8,16412
77,35,No,Travel_Rarely,776,Sales,1,Master,3,Male,2,2,Sales Executive,1,Single,0,No,14,3,2,0,16,2,3,15,13,2,8,17072
78,45,No,Travel_Rarely,193,Research & Development,6,Master,4,Male,3,3,Research Director,1,Married,4,Yes,14,3,2,0,17,3,4,0,0,0,0,4246
79,37,No,Travel_Rarely,397,Research & Development,7,Master,1,Male,3,3,Research Director,3,Single,4,No,13,3,1,0,16,3,4,5,2,0,2,8734
80,46,No,Travel_Rarely,945,Human Resources,5,College,2,Male,3,2,Human Resources,2,Divorced,8,Yes,22,4,4,1,16,2,3,4,2,0,2,20790
81,30,No,Travel_Rarely,852,Research & Development,1,Below College,4,Male,2,2,Laboratory Technician,4,Married,1,Yes,12,3,3,2,10,1,2,10,8,3,0,18744
82,35,No,Travel_Rarely,1214,Research & Development,1,Bachelor,2,Male,2,1,Research Scientist,3,Single,1,No,18,3,1,0,6,3,3,6,4,0,4,26708
83,55,No,Travel_Rarely,111,Sales,1,College,1,Male,3,3,Sales Executive,4,Married,3,No,14,3,4,1,24,4,3,1,0,1,0,2442
84,38,No,Non-Travel,573,Research & Development,6,Bachelor,2,Female,1,2,Research Scientist,4,Divorced,7,Yes,12,3,4,3,17,3,3,13,11,1,9,12606
85,34,No,Travel_Rarely,1153,Research & Development,1,College,1,Male,3,2,Manufacturing Director,2,Married,1,No,15,3,3,0,5,2,3,5,2,1,3,25366
86,56,No,Travel_Rarely,1400,Research & Development,7,Bachelor,4,Male,1,3,Manufacturing Director,4,Single,4,No,11,3,1,0,37,3,2,6,4,0,2,30800
87,23,No,Travel_Rarely,541,Sales,2,Below College,3,Male,3,1,Sales Representative,1,Divorced,3,No,13,3,3,1,3,3,3,0,0,0,0,11902
88,51,No,Travel_Rarely,432,Research & Development,9,Master,4,Male,3,1,Laboratory Technician,4,Married,3,No,23,4,2,2,10,4,3,4,2,0,3,9504
89,30,No,Travel_Rarely,288,Research & Development,2,Bachelor,3,Male,2,2,Healthcare Representative,4,Married,1,No,19,3,1,3,11,3,3,11,10,10,8,6336
90,46,Yes,Travel_Rarely,669,Sales,9,College,3,Male,2,3,Sales Executive,4,Single,1,No,16,3,4,0,9,3,3,9,8,4,7,14718
91,40,No,Travel_Frequently,530,Research & Development,1,Master,3,Male,2,4,Healthcare Representative,2,Married,1,No,22,4,4,1,22,3,2,22,3,11,11,11660
92,51,No,Travel_Rarely,632,Sales,21,Master,3,Male,3,2,Sales Executive,4,Single,0,Yes,22,4,4,0,11,2,1,10,7,1,0,13904
93,30,No,Travel_Rarely,1334,Sales,4,College,3,Female,2,2,Sales Executive,2,Divorced,1,Yes,12,3,2,3,11,4,2,11,8,2,7,29348
94,46,No,Travel_Frequently,638,Research & Development,1,Bachelor,3,Male,2,3,Healthcare Representative,1,Married,2,Yes,13,3,3,1,21,5,2,10,9,9,5,14036
95,32,No,Travel_Rarely,1093,Sales,6,Master,2,Male,3,2,Sales Executive,3,Single,1,No,16,3,1,0,12,0,3,11,8,5,7,24046
96,54,No,Travel_Rarely,1217,Research & Development,2,Master,1,Female,3,3,Research Director,3,Married,9,No,12,3,1,1,16,5,1,4,3,0,3,26774
97,24,No,Travel_Rarely,1353,Sales,3,College,1,Female,3,2,Sales Executive,3,Married,0,No,21,4,1,1,4,2,2,3,2,0,2,29766
98,28,No,Non-Travel,120,Sales,4,Bachelor,2,Male,3,2,Sales Executive,3,Married,1,No,15,3,2,0,5,3,4,5,4,0,4,2640
99,58,No,Travel_Rarely,682,Sales,10,Master,4,Male,3,4,Sales Executive,3,Single,0,No,13,3,3,0,38,1,2,37,10,1,8,15004
100,44,No,Non-Travel,489,Research & Development,23,Bachelor,2,Male,3,2,Laboratory Technician,2,Married,4,No,12,3,3,1,17,3,4,3,2,1,2,10758
101,37,Yes,Travel_Rarely,807,Human Resources,6,Master,3,Male,3,1,Human Resources,1,Divorced,4,Yes,22,4,4,0,7,3,3,3,2,0,2,17754
102,32,No,Travel_Rarely,827,Research & Development,1,Below College,4,Male,3,1,Research Scientist,1,Single,1,No,13,3,4,0,1,2,3,1,0,0,0,18194
103,20,Yes,Travel_Frequently,871,Research & Development,6,Bachelor,4,Female,2,1,Laboratory Technician,4,Single,1,Yes,18,3,2,0,1,5,3,1,0,1,0,19162
104,34,No,Travel_Rarely,665,Research & Development,6,Master,1,Female,3,2,Research Scientist,3,Single,1,No,14,3,3,0,16,3,3,16,13,2,10,14630
105,37,No,Non-Travel,1040,Research & Development,2,College,3,Male,2,2,Healthcare Representative,4,Divorced,5,No,14,3,4,1,17,2,4,1,0,0,0,22880
106,59,No,Non-Travel,1420,Human Resources,2,Master,3,Female,2,5,Manager,4,Married,9,No,21,4,4,1,30,3,3,3,2,2,2,31240
107,50,No,Travel_Frequently,1115,Research & Development,1,Bachelor,1,Female,3,5,Research Director,2,Married,3,Yes,19,3,1,0,28,1,2,8,3,0,7,24530
108,25,Yes,Travel_Rarely,240,Sales,5,Bachelor,3,Male,2,2,Sales Executive,3,Single,1,Yes,11,3,4,0,6,1,3,6,4,0,3,5280
109,25,No,Travel_Rarely,1280,Research & Development,7,Below College,4,Male,2,1,Research Scientist,4,Married,1,No,11,3,3,2,2,2,3,2,2,2,1,28160
110,22,No,Travel_Rarely,534,Research & Development,15,Bachelor,2,Female,3,1,Laboratory Technician,4,Single,1,No,15,3,3,0,1,5,3,0,0,0,0,11748
111,51,No,Travel_Frequently,1456,Research & Development,1,Master,1,Female,2,3,Healthcare Representative,1,Single,3,No,20,4,3,0,23,1,2,13,12,12,8,32032
112,34,Yes,Travel_Frequently,658,Research & Development,7,Bachelor,1,Male,1,2,Laboratory Technician,3,Single,1,Yes,24,4,4,0,9,3,3,9,7,0,6,14476
113,54,No,Non-Travel,142,Human Resources,26,Bachelor,4,Female,4,4,Manager,4,Single,2,Yes,12,3,3,0,23,3,3,5,3,4,4,3124
114,24,No,Travel_Rarely,1127,Research & Development,18,Below College,2,Male,3,1,Laboratory Technician,3,Married,0,No,12,3,3,1,6,2,3,5,3,1,2,24794
115,34,No,Travel_Rarely,1031,Research & Development,6,Master,3,Female,2,2,Research Scientist,2,Divorced,6,No,15,3,3,1,12,3,3,1,0,0,0,22682
116,37,No,Travel_Rarely,1189,Sales,3,Bachelor,3,Male,3,3,Sales Executive,4,Single,2,No,12,3,1,0,12,3,3,5,3,1,3,26158
117,34,No,Travel_Rarely,1354,Research & Development,5,Bachelor,3,Female,2,3,Manager,1,Single,2,No,12,3,4,0,14,6,3,11,10,5,8,29788
118,36,No,Travel_Frequently,1467,Sales,11,College,2,Female,3,3,Sales Executive,4,Married,0,No,14,3,3,1,10,6,3,9,7,2,8,32274
119,36,No,Travel_Rarely,922,Research & Development,3,College,1,Female,3,1,Laboratory Technician,4,Divorced,5,No,22,4,1,1,7,2,3,1,0,0,0,20284
120,43,No,Travel_Frequently,394,Sales,26,College,3,Male,3,4,Manager,4,Married,1,Yes,12,3,4,2,25,3,4,25,12,4,12,8668
121,30,No,Travel_Frequently,1312,Research & Development,23,Bachelor,1,Male,1,1,Research Scientist,3,Divorced,1,No,25,4,3,3,10,2,2,10,7,0,9,28864
122,33,No,Non-Travel,750,Sales,22,College,3,Male,3,2,Sales Executive,2,Married,0,No,13,3,1,1,8,2,4,7,7,0,7,16500
123,56,Yes,Travel_Rarely,441,Research & Development,14,Master,2,Female,3,1,Research Scientist,2,Married,9,Yes,18,3,1,3,7,2,3,5,4,4,3,9702
124,51,No,Travel_Rarely,684,Research & Development,6,Bachelor,1,Male,3,5,Research Director,3,Single,7,No,13,3,3,0,23,5,3,20,18,15,15,15048
125,31,Yes,Travel_Rarely,249,Sales,6,Master,2,Male,1,2,Sales Executive,3,Married,4,Yes,18,3,2,0,12,3,2,7,7,7,7,5478
126,26,No,Travel_Rarely,841,Research & Development,6,Bachelor,3,Female,2,1,Research Scientist,2,Married,1,No,19,3,3,0,5,3,2,5,4,4,3,18502
127,58,Yes,Travel_Rarely,147,Research & Development,23,Master,4,Female,3,3,Healthcare Representative,4,Married,1,No,12,3,4,1,40,3,2,40,10,15,6,3234
128,19,Yes,Travel_Rarely,528,Sales,22,Below College,4,Male,3,1,Sales Representative,3,Single,1,Yes,19,3,4,0,0,2,2,0,0,0,0,11616
129,22,No,Travel_Rarely,594,Research & Development,2,Below College,3,Male,3,1,Laboratory Technician,4,Married,0,No,14,3,3,1,3,2,3,2,1,2,1,13068
130,49,No,Travel_Rarely,470,Research & Development,20,Master,3,Female,3,2,Manufacturing Director,1,Married,1,No,14,3,3,0,16,2,2,15,11,5,11,10340
131,43,No,Travel_Frequently,957,Research & Development,28,Bachelor,2,Female,4,1,Research Scientist,3,Single,4,No,12,3,4,0,18,2,3,3,2,1,2,21054
132,50,No,Travel_Frequently,809,Sales,12,Bachelor,3,Female,3,3,Sales Executive,4,Single,4,No,11,3,4,0,16,3,3,2,2,2,1,17798
133,31,Yes,Travel_Rarely,542,Sales,20,Bachelor,2,Female,1,2,Sales Executive,3,Married,3,Yes,11,3,3,1,4,2,3,2,2,2,2,11924
134,41,No,Travel_Rarely,802,Sales,9,Below College,3,Male,3,3,Sales Executive,3,Divorced,3,Yes,13,3,3,1,12,2,3,9,7,0,7,17644
135,26,No,Travel_Rarely,1355,Human Resources,25,Below College,3,Female,3,1,Human Resources,3,Married,1,No,23,4,4,1,8,3,3,8,7,5,7,29810
136,36,No,Travel_Rarely,216,Research & Development,6,College,2,Male,3,2,Manufacturing Director,2,Divorced,6,No,20,4,4,2,7,0,3,3,2,0,1,4752
137,51,Yes,Travel_Frequently,1150,Research & Development,8,Master,1,Male,1,3,Manufacturing Director,4,Single,2,No,15,3,4,0,18,2,3,4,2,0,3,25300
138,39,No,Travel_Rarely,1329,Sales,4,Master,4,Female,2,2,Sales Executive,3,Married,4,No,14,3,3,1,17,1,4,15,11,5,9,29238
139,25,No,Travel_Rarely,959,Sales,28,Bachelor,1,Male,2,2,Sales Executive,3,Married,2,No,18,3,4,0,6,3,3,2,2,2,2,21098
140,30,No,Travel_Rarely,1240,Human Resources,9,Bachelor,3,Male,3,2,Human Resources,4,Married,0,Yes,19,3,4,0,12,2,1,11,9,4,7,27280
141,32,Yes,Travel_Rarely,1033,Research & Development,9,Bachelor,1,Female,3,1,Laboratory Technician,1,Single,7,No,22,4,1,0,10,2,4,5,4,0,4,22726
142,45,No,Travel_Rarely,1316,Research & Development,29,Bachelor,3,Male,3,1,Research Scientist,4,Single,5,No,13,3,2,0,9,2,2,6,5,0,3,28952
143,38,No,Travel_Rarely,364,Research & Development,3,Doctor,4,Female,3,2,Research Scientist,3,Single,3,Yes,20,4,2,0,19,2,3,3,2,2,2,8008
144,30,No,Travel_Rarely,438,Research & Development,18,Bachelor,1,Female,3,1,Research Scientist,3,Single,1,No,14,3,3,0,5,4,2,5,4,0,4,9636
145,32,No,Travel_Frequently,689,Sales,9,College,4,Male,1,2,Sales Executive,4,Divorced,0,No,17,3,4,3,9,2,4,8,7,0,7,15158
146,30,No,Travel_Rarely,201,Research & Development,5,Bachelor,4,Female,3,1,Research Scientist,1,Divorced,5,No,14,3,4,1,8,3,3,3,2,2,2,4422
147,30,No,Travel_Rarely,1427,Research & Development,2,Below College,2,Male,2,1,Laboratory Technician,4,Single,0,No,13,3,4,0,6,3,3,5,3,1,2,31394
148,41,No,Travel_Frequently,857,Research & Development,10,Bachelor,4,Male,2,4,Manager,1,Divorced,4,No,13,3,2,1,21,2,2,7,6,7,7,18854
149,41,No,Travel_Rarely,933,Research & Development,9,Master,3,Male,3,1,Laboratory Technician,1,Married,2,No,21,4,4,1,7,2,3,5,0,1,4,20526
150,19,No,Travel_Rarely,1181,Research & Development,3,Below College,2,Female,3,1,Laboratory Technician,2,Single,1,No,14,3,4,0,1,3,3,1,0,0,0,25982
151,40,No,Travel_Frequently,1395,Research & Development,26,Bachelor,2,Female,3,2,Research Scientist,2,Divorced,1,No,11,3,1,1,20,2,3,20,7,2,13,30690
152,35,No,Travel_Rarely,662,Sales,1,Doctor,3,Male,3,3,Sales Executive,2,Married,1,No,13,3,1,2,10,3,3,10,8,0,6,14564
153,53,No,Travel_Rarely,1436,Sales,6,College,2,Male,3,2,Sales Representative,3,Married,2,Yes,20,4,4,1,13,3,1,7,7,4,5,31592
154,45,No,Travel_Rarely,194,Research & Development,9,Bachelor,2,Male,3,2,Laboratory Technician,2,Divorced,8,No,18,3,3,1,20,2,1,17,9,0,15,4268
155,32,No,Travel_Frequently,967,Sales,8,Bachelor,2,Female,3,3,Sales Executive,4,Single,1,No,14,3,4,0,9,2,3,9,8,3,7,21274
156,29,No,Non-Travel,1496,Research & Development,1,Below College,4,Male,3,2,Manufacturing Director,3,Married,1,No,13,3,1,1,10,1,3,10,7,0,9,32912
157,51,No,Travel_Rarely,1169,Research & Development,7,Master,2,Male,2,2,Manufacturing Director,3,Married,2,No,17,3,3,0,10,2,3,1,0,0,0,25718
158,58,No,Travel_Rarely,1145,Research & Development,9,Bachelor,2,Female,2,1,Research Scientist,2,Married,4,Yes,20,4,2,1,9,3,2,1,0,0,0,25190
159,40,No,Travel_Rarely,630,Sales,4,Master,3,Male,2,3,Sales Executive,4,Married,7,No,11,3,1,1,15,2,2,12,11,2,11,13860
160,34,No,Travel_Frequently,303,Sales,2,Master,3,Female,3,1,Sales Representative,3,Married,6,No,18,3,4,1,6,3,3,4,3,1,2,6666
161,22,No,Travel_Rarely,1256,Research & Development,19,Below College,3,Male,3,1,Research Scientist,4,Married,1,No,24,4,1,2,2,6,3,2,2,2,2,27632
162,27,No,Non-Travel,691,Research & Development,9,Bachelor,4,Male,3,1,Research Scientist,2,Divorced,6,No,18,3,4,1,6,1,1,2,2,2,2,15202
163,28,No,Travel_Rarely,440,Research & Development,21,Bachelor,3,Male,3,1,Research Scientist,4,Married,1,No,11,3,3,1,5,2,1,5,2,0,2,9680
164,57,No,Travel_Rarely,334,Research & Development,24,College,3,Male,4,3,Healthcare Representative,4,Divorced,3,Yes,16,3,2,1,12,2,1,5,3,1,4,7348
165,27,No,Non-Travel,1450,Research & Development,3,Bachelor,3,Male,2,1,Research Scientist,3,Divorced,1,Yes,15,3,4,1,1,2,2,1,1,0,1,31900
166,50,No,Travel_Rarely,1452,Research & Development,11,Bachelor,3,Female,3,5,Manager,2,Single,3,No,15,3,2,0,21,5,3,5,4,4,4,31944
167,41,No,Travel_Rarely,465,Research & Development,14,Bachelor,1,Male,3,1,Research Scientist,3,Divorced,4,No,12,3,1,1,13,2,3,9,8,1,8,10230
